,car,cylinders,displacement
196,vw pickup,4,97
102,oldsmobile cutlass salon brougham,8,260
16,ford f108,8,302
96,maxda glc deluxe,4,86
127,vw rabbit c (diesel),4,90
78,saab 99gle,4,121
3,pontiac ventura sj,6,250
0,honda civic,4,91
164,datsun 810 maxima,6,146
131,honda civic 1500 gl,4,91
41,subaru dl,4,97
118,dodge aspen,6,225
154,ford escort 2h,4,98
65,buick regal sport coupe (turbo),6,231
81,honda accord lx,4,98
135,datsun 280-zx,6,168
2,ford granada ghia,6,250
101,peugeot 504,4,141
193,dodge charger 2.2,4,135
177,volkswagen rabbit l,4,105
148,subaru,4,97
169,chevrolet cavalier,4,112
19,buick opel isuzu deluxe,4,111
190,chrysler lebaron medallion,4,156
21,plymouth arrow gs,4,122
32,chevrolet monte carlo landau,8,350
116,ford fairmont,4,140
51,oldsmobile cutlass salon brougham,8,260
17,dodge d100,8,318
156,renault 18i,4,100
64,chevrolet monte carlo landau,8,305
8,ford pinto,4,140
89,mercury grand marquis,8,351
199,chevy s-10,4,119
35,volkswagen rabbit custom,4,97
70,datsun 510,4,119
5,volkswagen rabbit,4,97
71,dodge omni,4,105
91,buick estate wagon (sw),8,350
97,dodge colt hatchback custom,4,98
24,oldsmobile cutlass supreme,8,260
179,mazda glc custom,4,91
33,chrysler cordoba,8,400
108,chevrolet citation,6,173
174,pontiac phoenix,4,151
183,honda accord,4,107
129,audi 5000s (diesel),5,121
191,ford granada l,6,232
111,vw rabbit,4,98
1,dodge aspen se,6,225
52,dodge diplomat,8,318
149,datsun 210 mpg,4,85
34,ford thunderbird,8,351
157,honda prelude,4,107
162,volvo diesel,6,145
163,toyota cressida,6,168
84,ford fairmont 4,4,140
85,amc concord dl 6,6,232
95,vw rabbit custom,4,89
140,plymouth reliant,4,135
192,toyota celica gt,4,144
14,cadillac seville,8,350
22,datsun f-10 hatchback,4,85
143,chevrolet citation,6,173
72,toyota celica gt liftback,4,134
176,amc concord dl,4,151
152,plymouth horizon 4,4,105
47,ford fiesta,4,98
44,bmw 320i,4,121
9,volvo 245,4,130
38,ford mustang ii 2+2,4,140
134,vokswagen rabbit,4,89
54,pontiac phoenix lj,6,231
87,chevrolet caprice classic,8,305
119,audi 4000,4,97
79,peugeot 604sl,6,163
40,dodge colt m/m,4,98
58,plymouth volare,6,225
88,ford ltd landau,8,302
109,oldsmobile omega brougham,6,173
61,mercury zephyr,6,200
178,mazda glc custom l,4,91
181,mercury lynx l,4,98
172,pontiac j2000 se hatchback,4,112
99,mercedes benz 300d,5,183
42,volkswagen dasher,4,97
159,datsun 200sx,4,119
43,datsun 810,6,146
186,honda civic (auto),4,91
77,volvo 264gl,6,163
175,ford fairmont futura,4,140
103,plymouth horizon,4,105
7,toyota corolla,4,97
145,toyota starlet,4,79
26,mercury cougar brougham,8,302
49,datsun b210 gx,4,85
82,pontiac lemans v6,6,231
189,oldsmobile cutlass ciera (diesel),6,262
110,pontiac phoenix,4,151
105,datsun 210,4,85
142,dodge aries wagon (sw),4,156
18,honda accord cvcc,4,98
94,chrysler lebaron town @ country (sw),8,360
59,amc concord,6,232
184,toyota corolla,4,108
53,mercury monarch ghia,8,302
138,ford mustang cobra,4,140
114,datsun 310,4,86
130,mercedes-benz 240d,4,146
57,ford fairmont (man),4,140
126,datsun 210,4,85
180,plymouth horizon miser,4,105
46,volkswagen rabbit custom diesel,4,90
10,plymouth volare premier v8,8,318
125,dodge colt,4,156
106,fiat strada custom,4,91
23,chevrolet caprice classic,8,305
141,buick skylark,4,151
158,toyota corolla,4,108
123,toyota corolla,4,108
171,chevrolet cavalier 2-door,4,112
36,pontiac sunbird coupe,4,151
28,buick skylark,6,231
25,dodge monaco brougham,8,318
66,ford futura,8,302
63,amc concord d/l,6,258
55,chevrolet malibu,6,200
37,toyota corolla liftback,4,97
188,buick century limited,6,181
113,chevrolet chevette,4,98
93,chevrolet malibu classic (sw),8,267
124,mazda glc,4,86
100,cadillac eldorado,8,350
137,triumph tr7 coupe,4,122
48,mazda glc deluxe,4,78
74,oldsmobile starfire sx,4,151
151,mazda glc 4,4,91
27,chevrolet concours,6,250
69,toyota corona,4,134
112,toyota corolla tercel,4,89
167,ford granada gl,6,200
194,chevrolet camaro,4,151
60,buick century special,6,231
198,ford ranger,4,120
153,ford escort 4w,4,98
117,amc concord,4,151
90,dodge st. regis,8,318
139,honda accord,4,107
39,chevrolet chevette,4,98
15,chevy c10,8,350
20,renault 5 gtl,4,79
150,toyota tercel,4,89
147,honda civic 1300,4,81
98,amc spirit dl,4,121
104,plymouth horizon tc3,4,105
62,dodge aspen,6,225
185,honda civic,4,91
173,dodge aries se,4,135
122,datsun 510 hatchback,4,119
83,mercury zephyr 6,6,200
187,datsun 310 gx,4,91
182,nissan stanza xe,4,120
80,volkswagen scirocco,4,89
133,subaru dl,4,97
165,buick century,6,231
197,dodge rampage,4,135
168,chrysler lebaron salon,6,225
146,plymouth champ,4,86
170,chevrolet cavalier wagon,4,112
161,peugeot 505s turbo diesel,4,141
67,dodge magnum xe,8,318
76,audi 5000,5,131
86,dodge aspen 6,6,225
132,renault lecar deluxe,4,85
136,mazda rx-7 gs,3,70
155,volkswagen jetta,4,105
75,datsun 200-sx,4,119
92,ford country squire (sw),8,351
144,plymouth reliant,4,135
56,ford fairmont (auto),6,200
166,oldsmobile cutlass ls,8,350
107,buick skylark limited,4,151
30,ford granada,6,250
120,toyota corona liftback,4,134
12,toyota mark ii,6,156
4,amc pacer d/l,6,258
115,chevrolet citation,4,151
13,mercedes-benz 280s,6,168
29,plymouth volare custom,6,225
45,mazda rx-4,3,80
11,peugeot 504,4,120
121,mazda 626,4,120
50,honda civic cvcc,4,91
68,chevrolet chevette,4,98
128,vw dasher (diesel),4,90
160,mazda 626,4,120
195,ford mustang gl,4,140
6,datsun b-210,4,85
31,pontiac grand prix lj,8,400
73,plymouth sapporo,4,156
