,car,model,origin
163,toyota cressida,81,3
34,ford thunderbird,77,1
140,plymouth reliant,81,1
95,vw rabbit custom,79,2
65,buick regal sport coupe (turbo),78,1
93,chevrolet malibu classic (sw),79,1
106,fiat strada custom,79,2
170,chevrolet cavalier wagon,82,1
53,mercury monarch ghia,78,1
98,amc spirit dl,79,1
11,peugeot 504,76,2
56,ford fairmont (auto),78,1
39,chevrolet chevette,77,1
169,chevrolet cavalier,82,1
32,chevrolet monte carlo landau,77,1
130,mercedes-benz 240d,80,2
44,bmw 320i,77,2
121,mazda 626,80,3
19,buick opel isuzu deluxe,77,1
191,ford granada l,82,1
183,honda accord,82,3
0,honda civic,76,3
8,ford pinto,76,1
18,honda accord cvcc,77,3
15,chevy c10,76,1
139,honda accord,80,3
64,chevrolet monte carlo landau,78,1
50,honda civic cvcc,78,3
41,subaru dl,77,3
151,mazda glc 4,81,3
171,chevrolet cavalier 2-door,82,1
194,chevrolet camaro,82,1
20,renault 5 gtl,77,2
38,ford mustang ii 2+2,77,1
71,dodge omni,78,1
63,amc concord d/l,78,1
68,chevrolet chevette,78,1
145,toyota starlet,81,3
147,honda civic 1300,81,3
99,mercedes benz 300d,79,2
87,chevrolet caprice classic,79,1
30,ford granada,77,1
86,dodge aspen 6,79,1
23,chevrolet caprice classic,77,1
97,dodge colt hatchback custom,79,1
70,datsun 510,78,3
185,honda civic,82,3
21,plymouth arrow gs,77,1
129,audi 5000s (diesel),80,2
113,chevrolet chevette,80,1
155,volkswagen jetta,81,2
152,plymouth horizon 4,81,1
112,toyota corolla tercel,80,3
158,toyota corolla,81,3
54,pontiac phoenix lj,78,1
115,chevrolet citation,80,1
69,toyota corona,78,3
125,dodge colt,80,1
105,datsun 210,79,3
108,chevrolet citation,79,1
175,ford fairmont futura,82,1
74,oldsmobile starfire sx,78,1
66,ford futura,78,1
117,amc concord,80,1
138,ford mustang cobra,80,1
36,pontiac sunbird coupe,77,1
94,chrysler lebaron town @ country (sw),79,1
143,chevrolet citation,81,1
199,chevy s-10,82,1
52,dodge diplomat,78,1
46,volkswagen rabbit custom diesel,78,2
193,dodge charger 2.2,82,1
172,pontiac j2000 se hatchback,82,1
14,cadillac seville,76,1
91,buick estate wagon (sw),79,1
144,plymouth reliant,81,1
37,toyota corolla liftback,77,3
111,vw rabbit,80,2
10,plymouth volare premier v8,76,1
188,buick century limited,82,1
57,ford fairmont (man),78,1
164,datsun 810 maxima,81,3
82,pontiac lemans v6,79,1
190,chrysler lebaron medallion,82,1
157,honda prelude,81,3
67,dodge magnum xe,78,1
119,audi 4000,80,2
81,honda accord lx,78,3
43,datsun 810,77,3
42,volkswagen dasher,77,2
