,car,horsepower,acceleration,mpg,weight
87,chevrolet caprice classic,130,15.4,17.0,3840
174,pontiac phoenix,90,18.0,27.0,2735
137,triumph tr7 coupe,88,15.1,35.0,2500
178,mazda glc custom l,68,18.2,37.0,2025
19,buick opel isuzu deluxe,80,14.8,30.0,2155
75,datsun 200-sx,97,14.9,23.9,2405
5,volkswagen rabbit,71,12.2,29.5,1825
67,dodge magnum xe,140,13.7,17.5,4080
192,toyota celica gt,96,13.9,32.0,2665
170,chevrolet cavalier wagon,88,18.6,27.0,2640
103,plymouth horizon,70,13.2,34.2,2200
78,saab 99gle,115,15.7,21.6,2795
54,pontiac phoenix lj,105,19.2,19.2,3535
102,oldsmobile cutlass salon brougham,90,22.2,23.9,3420
159,datsun 200sx,100,14.8,32.9,2615
193,dodge charger 2.2,84,13.0,36.0,2370
195,ford mustang gl,86,15.6,27.0,2790
21,plymouth arrow gs,96,15.5,25.5,2300
2,ford granada ghia,78,21.0,18.0,3574
183,honda accord,75,14.5,36.0,2205
152,plymouth horizon 4,63,14.9,34.7,2215
143,chevrolet citation,110,12.6,23.5,2725
160,mazda 626,74,18.3,31.6,2635
161,peugeot 505s turbo diesel,80,20.4,28.1,3230
119,audi 4000,78,15.8,34.3,2188
101,peugeot 504,71,24.8,27.2,3190
31,pontiac grand prix lj,180,11.1,16.0,4220
40,dodge colt m/m,83,15.9,33.5,2075
84,ford fairmont 4,88,17.3,22.3,2890
81,honda accord lx,68,16.6,29.5,2135
124,mazda glc,65,17.9,46.6,2110
0,honda civic,53,17.4,33.0,1795
76,audi 5000,103,15.9,20.3,2830
123,toyota corolla,75,15.2,32.2,2265
107,buick skylark limited,90,16.0,28.4,2670
151,mazda glc 4,68,16.0,34.1,1985
146,plymouth champ,64,16.4,39.0,1875
110,pontiac phoenix,90,13.2,33.5,2556
187,datsun 310 gx,67,16.2,38.0,1995
142,dodge aries wagon (sw),92,14.4,25.8,2620
185,honda civic,67,15.0,38.0,1965
165,buick century,110,15.8,22.4,3415
171,chevrolet cavalier 2-door,88,18.0,34.0,2395
93,chevrolet malibu classic (sw),125,15.0,19.2,3605
20,renault 5 gtl,58,18.6,36.0,1825
190,chrysler lebaron medallion,92,14.5,26.0,2585
176,amc concord dl,?,20.5,23.0,3035
129,audi 5000s (diesel),67,19.9,36.4,2950
79,peugeot 604sl,133,15.8,16.2,3410
47,ford fiesta,66,14.4,36.1,1800
4,amc pacer d/l,95,17.8,17.5,3193
94,chrysler lebaron town @ country (sw),150,13.0,18.5,3940
49,datsun b210 gx,70,18.6,39.4,2070
180,plymouth horizon miser,63,14.7,38.0,2125
149,datsun 210 mpg,65,19.4,37.0,1975
16,ford f108,130,15.0,13.0,3870
23,chevrolet caprice classic,145,12.5,17.5,3880
162,volvo diesel,76,19.6,30.7,3160
144,plymouth reliant,84,12.9,30.0,2385
15,chevy c10,145,12.0,13.0,4055
64,chevrolet monte carlo landau,145,13.2,19.2,3425
60,buick century special,105,15.8,20.6,3380
97,dodge colt hatchback custom,80,14.4,35.7,1915
121,mazda 626,75,17.5,31.3,2542
158,toyota corolla,75,16.8,32.4,2350
9,volvo 245,102,15.7,20.0,3150
22,datsun f-10 hatchback,70,16.8,33.5,1945
52,dodge diplomat,140,13.2,19.4,3735
112,toyota corolla tercel,60,18.8,38.1,1968
12,toyota mark ii,108,15.5,19.0,2930
105,datsun 210,65,19.2,31.8,2020
199,chevy s-10,82,19.4,31.0,2720
168,chrysler lebaron salon,85,16.6,17.6,3465
27,chevrolet concours,110,16.4,17.5,3520
191,ford granada l,112,14.7,22.0,2835
43,datsun 810,97,14.5,22.0,2815
109,oldsmobile omega brougham,115,12.9,26.8,2700
172,pontiac j2000 se hatchback,85,16.2,31.0,2575
30,ford granada,98,19.0,18.5,3525
