title,artist,top genre,bpm,energy,danceability,liveness,valence,acousticness,speechiness
Highway to Hell,AC/DC,rock,116,91,57,16,42,6,13
Back In Black,AC/DC,rock,188,70,31,8,76,1,5
Thunderstruck,AC/DC,rock,134,89,50,22,26,0,4
Sweet Home Alabama,Lynyrd Skynyrd,rock,98,61,60,9,89,18,3
Fortunate Son,Creedence Clearwater Revival,rock,133,66,64,15,66,20,4
Sex on Fire,Kings of Leon,rock,153,91,54,14,37,0,5
Mr. Blue Sky,Electric Light Orchestra,rock,178,34,39,25,48,65,3
Dream On,Aerosmith,rock,161,43,31,33,22,39,3
Should I Stay or Should I Go - Remastered,The Clash,rock,113,83,74,38,82,8,12
More Than a Feeling,Boston,rock,109,68,38,5,29,0,3
Dust in the Wind,Kansas,rock,94,32,48,11,39,37,3
Crazy Train,Ozzy Osbourne,rock,138,91,45,26,47,36,12
Dancing In the Dark,Bruce Springsteen,rock,149,94,53,19,50,1,4
You Make My Dreams,Daryl Hall & John Oates,rock,167,50,75,5,90,23,6
Everlong,Foo Fighters,rock,158,88,41,8,36,0,4
Whole Lotta Love - 1990 Remaster,Led Zeppelin,rock,90,90,41,41,42,5,41
Wish You Were Here,Pink Floyd,rock,123,26,48,83,38,74,4
Even Flow,Pearl Jam,rock,105,94,39,30,27,0,8
(Don't Fear) The Reaper,Blue …yster Cult,rock,141,93,33,30,38,0,7
Alive,Pearl Jam,rock,75,88,28,40,60,1,4
Bohemian Rhapsody - 2011 Mix,Queen,rock,144,40,39,24,23,29,5
The Final Countdown,Europe,rock,118,84,54,6,19,6,6
Like a Stone,Audioslave,rock,108,57,61,10,52,1,3
The Joker,Steve Miller Band,rock,83,45,60,21,80,37,4
Don't Stop Believin',Journey,rock,119,80,49,39,47,25,4
Enter Sandman,Metallica,rock,123,82,58,6,64,0,3
Walk On the Wild Side,Lou Reed,rock,105,32,57,9,39,68,11
Piano Man,Billy Joel,rock,178,55,33,19,43,61,3
The Boys Are Back In Town,Thin Lizzy,rock,81,71,45,21,77,23,5
American Girl,Tom Petty and the Heartbreakers,rock,115,82,55,37,78,45,3
Learn to Fly,Foo Fighters,rock,136,92,47,26,54,0,4
Sweet Emotion,Aerosmith,rock,99,76,38,10,49,0,4
Barracuda,Heart,rock,137,69,55,14,67,2,4
London Calling - Remastered,The Clash,rock,134,80,65,8,78,12,5
Go Your Own Way - 2004 Remaster,Fleetwood Mac,rock,135,94,59,7,83,2,4
Knockin' On Heaven's Door - Remastered,Bob Dylan,rock,140,40,51,11,23,25,3
Born to Run,Bruce Springsteen,rock,146,94,27,12,61,1,10
Sharp Dressed Man - 2008 Remaster,ZZ Top,rock,125,86,60,9,45,0,3
Money,Pink Floyd,rock,124,54,47,27,78,2,15
I Love Rock 'N Roll,Joan Jett & The Blackhearts,rock,94,72,54,66,90,33,4
Walk This Way,Aerosmith,rock,109,73,65,8,89,1,4
Life in the Fast Lane - 2013 Remaster,Eagles,rock,110,76,67,5,88,10,7
Tom Sawyer,Rush,rock,88,90,54,6,67,0,4
Eye of the Tiger,Survivor,rock,109,44,82,8,55,22,3
Old Time Rock & Roll,Bob Seger,rock,124,94,71,7,96,21,4
RITMO (Bad Boys For Life),The Black Eyed Peas,dance pop,105,72,72,24,67,3,7
Never Really Over,Katy Perry,dance pop,100,88,77,32,39,19,6
One Kiss (with Dua Lipa),Calvin Harris,dance pop,124,86,79,8,59,4,11
Don't Call Me Up,Mabel,dance pop,99,88,67,8,23,30,15
Post Malone (feat. RANI),Sam Feldt,dance pop,107,64,59,11,65,8,12
Promises (with Sam Smith),Calvin Harris,dance pop,123,77,78,33,49,1,4
"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",DJ Snake,dance pop,96,80,84,6,62,16,23
Sixteen,Ellie Goulding,dance pop,110,80,67,6,54,27,14
What I Like About You (feat. Theresa Rex),Jonas Blue,dance pop,102,80,46,12,55,29,5
Let Me Love You,DJ Snake,dance pop,100,72,65,14,16,9,3
Solo (feat. Demi Lovato),Clean Bandit,dance pop,105,64,74,35,56,4,4
This Is What You Came For,Calvin Harris,dance pop,124,93,63,15,47,20,3
Ruin My Life,Zara Larsson,dance pop,125,70,67,10,59,42,6
Harder (with Bebe Rexha),Jax Jones,dance pop,104,83,91,15,75,9,7
This Is Real (ft. Ella Henderson),Jax Jones,dance pop,122,82,68,10,61,3,4
Pretty Girl - Cheat Codes X CADE Remix,Maggie Lindemann,dance pop,121,87,70,10,73,15,3
Can We Pretend (feat. Cash Cash),P!nk,dance pop,115,81,52,10,45,20,41
All You Need To Know (feat. Calle Lehmann),Gryffin,dance pop,140,79,51,11,23,1,4
